geometry,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance
body_site_3,26,8.236297909161966e-09,4.764997086966673e-08,0.9999998493420869
body_site_3,27,7.000781122248405e-09,4.05020581114448e-08,0.999999889844145
body_site_3,28,6.854614262883863e-09,3.9656429812463106e-08,0.9999999295005748
body_site_3,29,5.392654562370296e-09,3.1198462663823844e-08,0.9999999606990375
body_site_3,30,4.604753795496663e-09,2.6640170940554127e-08,0.9999999873392085
body_site_3,31,2.1884178631598603e-09,1.2660791120028322e-08,0.9999999999999996
body_site_4,1,0.1800507011858895,0.9554940266157517,0.9554940266157517
body_site_4,2,0.006094297418141815,0.032341250220638704,0.9878352768363904
body_site_4,3,0.0015050275146058065,0.007986888085559413,0.9958221649219497
body_site_4,4,0.0004359021152093813,0.002313247682616501,0.9981354126045663
body_site_4,5,0.00019970950121581517,0.001059819452039308,0.9991952320566055
body_site_4,6,6.758476001461766e-05,0.0003586591668840839,0.9995538912234896
body_site_4,7,3.324183870212908e-05,0.00017640796789131222,0.9997302991913809
body_site_4,8,1.886274548495795e-05,0.00010010091889529967,0.9998304001102762
body_site_4,9,1.0406928873085809e-05,5.5227545953193846e-05,0.9998856276562295
body_site_4,10,5.52637650218616e-06,2.9327404458241295e-05,0.9999149550606877
body_site_4,11,3.2922205864580203e-06,1.7471173863490468e-05,0.9999324262345513
body_site_4,12,2.9840885259851477e-06,1.5835976992545394e-05,0.9999482622115438
body_site_4,13,2.645757087453503e-06,1.4040517900167055e-05,0.999962302729444
body_site_4,14,1.7660979392652816e-06,9.37233801519132e-06,0.9999716750674592
body_site_4,15,1.2565942750636101e-06,6.668501237677636e-06,0.9999783435686969
body_site_4,16,8.04740789328713e-07,4.270602736413506e-06,0.9999826141714333
body_site_4,17,6.181517276638725e-07,3.2804109033446258e-06,0.9999858945823367
body_site_4,18,4.695814688618088e-07,2.4919774571923297e-06,0.9999883865597938
body_site_4,19,3.5536642219554404e-07,1.885860435039861e-06,0.9999902724202289
body_site_4,20,3.480741712450612e-07,1.847161878589499e-06,0.9999921195821074
body_site_4,21,3.016925335265553e-07,1.601023554812944e-06,0.9999937206056623
body_site_4,22,2.395926629385738e-07,1.2714716285520889e-06,0.9999949920772908
body_site_4,23,2.0719517960766568e-07,1.0995444902728181e-06,0.999996091621781
body_site_4,24,1.5160628843531845e-07,8.045450644914457e-07,0.9999968961668455
body_site_4,25,1.391301095550233e-07,7.383364115031736e-07,0.999997634503257
body_site_4,26,1.1242573161273573e-07,5.966214754307955e-07,0.9999982311247324
body_site_4,27,1.0305418117771426e-07,5.468884813251718e-07,0.9999987780132137
body_site_4,28,7.886883854081768e-08,4.1854157532033704e-07,0.999999196554789
body_site_4,29,6.654007126944095e-08,3.531152070488013e-07,0.999999549669996
body_site_4,30,4.925251693429299e-08,2.613735209946309e-07,0.9999998110435171
body_site_4,31,3.5606446813622994e-08,1.8895648289813216e-07,1.0
body_site_5,1,0.17378782867380516,0.9490967820639403,0.9490967820639403
body_site_5,2,0.007231331924477245,0.039492028365459876,0.9885888104294002
body_site_5,3,0.0014223764869851822,0.007767937242687516,0.9963567476720877
body_site_5,4,0.0002970441655343143,0.0016222290352027405,0.9979789767072904
body_site_5,5,0.00023086003738473942,0.0012607817259762055,0.9992397584332666
body_site_5,6,5.634241236647832e-05,0.0003076993520133914,0.99954745778528
body_site_5,7,2.859342529777021e-05,0.0001561555152935163,0.9997036133005734
body_site_5,8,2.6563842505385016e-05,0.00014507147959386617,0.9998486847801674
body_site_5,9,8.280960090145722e-06,4.522429812221864e-05,0.9998939090782897
body_site_5,10,7.029659687080423e-06,3.8390648176722816e-05,0.9999322997264664
body_site_5,11,3.849026743075893e-06,2.1020453065146135e-05,0.9999533201795315
body_site_5,12,2.4739660979851884e-06,1.3510918920220916e-05,0.9999668310984517
body_site_5,13,1.7427842251782807e-06,9.517760320563921e-06,0.9999763488587723
body_site_5,14,1.102506786310066e-06,6.02105251602272e-06,0.9999823699112883
body_site_5,15,5.150659750543861e-07,2.8128981367981556e-06,0.999985182809425
body_site_5,16,4.4014240310291207e-07,2.4037226405477766e-06,0.9999875865320658
body_site_5,17,3.3608300736256677e-07,1.8354294614779456e-06,0.9999894219615273
body_site_5,18,2.915243136123898e-07,1.592083807331799e-06,0.9999910140453346
body_site_5,19,2.7384967805564147e-07,1.4955584070257233e-06,0.9999925096037416
body_site_5,20,2.40144960572127e-07,1.3114889060250502e-06,0.9999938210926477
body_site_5,21,1.9238442943070088e-07,1.0506572542235071e-06,0.9999948717499019
body_site_5,22,1.6895462828134538e-07,9.227015219668494e-07,0.9999957944514238
body_site_5,23,1.567142890652851e-07,8.558541100969472e-07,0.999996650305534
body_site_5,24,1.3969236795785737e-07,7.628933390758118e-07,0.999997413198873
body_site_5,25,1.0796197592657332e-07,5.89606100260921e-07,0.9999980028049733
body_site_5,26,9.093067519276698e-08,4.965941048630221e-07,0.9999984993990781
body_site_5,27,8.91958681762961e-08,4.871199099818323e-07,0.9999989865189881
body_site_5,28,8.260220316667072e-08,4.511103327266311e-07,0.9999994376293209
body_site_5,29,5.824966104253184e-08,3.1811529192616706e-07,0.9999997557446128
body_site_5,30,3.0934157382961983e-08,1.6893881149257965e-07,0.9999999246834242
body_site_5,31,1.3791116452481314e-08,7.53165762297828e-08,1.0000000000000004
body_site_6,1,0.1480817148952322,0.9486796214862979,0.9486796214862979
body_site_6,2,0.006065818673627447,0.03886042626783952,0.9875400477541374
body_site_6,3,0.0012566463048190588,0.00805065461080964,0.9955907023649471
body_site_6,4,0.00034494150539332076,0.0022098540458082277,0.9978005564107553
body_site_6,5,0.0001926209011824967,0.0012340181483814253,0.9990345745591367
body_site_6,6,5.872068528494065e-05,0.000376191736629646,0.9994107662957663
body_site_6,7,3.634312546645665e-05,0.00023283078897040258,0.9996435970847367
body_site_6,8,2.537085271102581e-05,0.00016253735961735223,0.9998061344443541
body_site_6,9,8.760510229440862e-06,5.612386062906397e-05,0.9998622583049831
body_site_6,10,5.527396674556358e-06,3.541104712849041e-05,0.9998976693521116
body_site_6,11,3.7635760220417044e-06,2.411120021504011e-05,0.9999217805523266
body_site_6,12,2.7414748101931047e-06,1.756314942117106e-05,0.9999393437017478
body_site_6,13,2.062115935942355e-06,1.3210863792026785e-05,0.9999525545655398
body_site_6,14,1.6724015298701908e-06,1.0714173937361941e-05,0.9999632687394772
body_site_6,15,1.3942254144495627e-06,8.932049709056782e-06,0.9999722007891862
body_site_6,16,1.029227564833336e-06,6.593705491053784e-06,0.9999787944946774
body_site_6,17,7.258887672554104e-07,4.650377539510722e-06,0.9999834448722169
body_site_6,18,5.082427042861743e-07,3.2560366866801083e-06,0.9999867009089036
body_site_6,19,4.628330560573527e-07,2.9651215799498617e-06,0.9999896660304836
body_site_6,20,3.0062159538089104e-07,1.92592030365346e-06,0.9999915919507872
body_site_6,21,2.4770710402893535e-07,1.5869257177086053e-06,0.999993178876505
body_site_6,22,2.0138200483072943e-07,1.290145810724396e-06,0.9999944690223157
body_site_6,23,1.9029811989682896e-07,1.2191373423856158e-06,0.9999956881596581
body_site_6,24,1.513443602447617e-07,9.695816292556267e-07,0.9999966577412872
body_site_6,25,1.221286163795898e-07,7.824121272609933e-07,0.9999974401534145
body_site_6,26,1.0905653247418603e-07,6.986663412252938e-07,0.9999981388197557
body_site_6,27,9.429036002720821e-08,6.04067444273626e-07,0.9999987428872
body_site_6,28,7.237738014228253e-08,4.6368280949561884e-07,0.9999992065700095
body_site_6,29,5.0955264407347025e-08,3.264428763868443e-07,0.9999995330128859
body_site_6,30,4.182434100954124e-08,2.6794597851542673e-07,0.9999998009588644
body_site_6,31,3.106881608361862e-08,1.9904113551823615e-07,1.0
body_site_7,1,0.10371466601645904,0.9375382894160055,0.9375382894160055
body_site_7,2,0.005307985308150189,0.047982022766757775,0.9855203121827633
body_site_7,3,0.0010301617177425353,0.009312241862890633,0.9948325540456538
body_site_7,4,0.00035574557857427283,0.003215794969159926,0.9980483490148138
body_site_7,5,9.4244599800094e-05,0.0008519327523964079,0.9989002817672101
body_site_7,6,5.323351003651069e-05,0.0004812092238846891,0.9993814909910949
body_site_7,7,2.190102048332772e-05,0.00019797629466545712,0.9995794672857603
body_site_7,8,1.8462741883291027e-05,0.00016689565813616915,0.9997463629438965
